Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,Momentum,RSI,MACD,Signal,Upper_band,Lower_band
2015-06-18,38.419998,38.889999,34.326,35.549999,35.549999,1148200,-0.075,-3.0800020000000004,4.951221141596134,34.321428857142855,29.250000238095236,32.5,75.81204370592886,4.192369677077885,3.452193368002961,38.94622442465373,19.553776051536744
2015-06-19,36.330002,36.740002,32.549999,35.52,35.52,979700,-0.022,-0.029998999999996556,4.958764616973292,35.38142885714286,30.131905,35.110001,75.70886651429046,4.126708361687744,3.5870963667399174,38.41443278287505,21.849377217124946
2015-06-22,36.759998,38.5,36.09,36.939999,36.939999,792200,0.005,1.4199989999999971,5.047032246507291,36.26857157142857,30.668095428571434,35.630001,77.28476648717447,4.141512569154873,3.6979796072229085,39.19446059157932,22.141730265563545
2015-06-23,37.75,38.099998,35.169998,35.43,35.43,293900,-0.061,-1.5099990000000005,4.9927255876982,36.52571428571429,31.007143095238092,32.549999,71.94004731347866,3.9854588220803464,3.755475450194396,39.70421859358821,22.310067596887976
2015-06-24,35.119999,37.429001,34.139999,35.959999,35.959999,564400,0.024,0.5299990000000037,4.956837049932443,36.591428428571426,31.30761923809524,32.52,72.65486315238041,3.860055278679159,3.776391415891349,40.240575648953175,22.3746628272373
2015-06-25,36.34,36.5,34.799999,34.84,34.84,208200,-0.041,-1.119999,4.853778109082012,36.12428542857143,31.65714304761905,33.939999,68.67357027189666,3.6284707557445657,3.7468072838619926,40.53861585357073,22.775670241667367
2015-06-26,34.869999,35.32,32.630001,33.52,33.52,346500,-0.039,-1.3200000000000003,4.710652541980176,35.39428528571428,31.94619061904762,32.43,64.20787855537095,3.3003806508158178,3.6575219572527575,40.64582819036015,23.246553047735095
2015-06-29,32.52,33.509998,31.200001,31.32,31.32,315500,-0.037,-2.200000000000003,4.561876912360522,34.78999971428572,32.14238104761905,32.959999,57.497022818971274,2.8302202477996623,3.4920616153621387,40.574177579590945,23.71058451564715
2015-06-30,31.5,34.439999,31.5,33.950001,33.950001,473300,0.078,2.630001,4.443326845372563,34.565714142857146,32.457619190476194,31.840000000000003,62.537833510110644,2.6394083850627936,3.3215309693022697,40.62459617717913,24.29064220377326
2015-07-01,34.029999,34.970001,29.879999,31.110001,31.110001,1012600,-0.086,-2.84,4.311596651452181,33.73285728571429,32.65571442857143,30.520000000000003,54.95800922045552,2.233280476820944,3.103880870806005,40.455146535737164,24.856282321405693
2015-07-02,31.51,31.73,30.620001,31.309999,31.309999,303200,-0.006,0.1999980000000008,4.183082503200278,33.144285714285715,32.84000004761905,28.32,55.36826253270857,1.905592862365694,2.864223269117943,40.29720870019155,25.382791395046556
2015-07-06,31.07,31.74,30.379999,30.530001,30.530001,149300,-0.017,-0.7799980000000026,4.071959527285702,32.36857171428572,33.01857147619048,30.950001,53.32819781094879,1.5649193312413132,2.6043624815426174,40.03273812270986,26.004404829671103
2015-07-07,30.469999,30.83,28.5,30.76,30.76,348900,0.01,0.22999900000000295,3.960193752517737,31.78571457142857,33.179047714285716,28.110001,53.86796048377205,1.298523529577011,2.3431946911494963,39.795272931676664,26.562822496894768
2015-07-08,30.02,30.360001,29.030001,29.190001,29.190001,186900,-0.028,-1.5699990000000028,3.8948452830651954,31.167143285714285,33.284285857142855,28.309999,49.647106483198634,0.9497687957422798,2.064509512068053,39.54725488724367,27.02131682704204
2015-07-09,29.73,30.379999,28.799999,29.059999,29.059999,249100,-0.023,-0.1300019999999975,3.8322321132592476,30.844286000000004,33.318571523809524,27.530001,49.302617675099064,0.655333801475841,1.7826743699496108,39.47483429481893,27.16230875280011
2015-07-10,29.32,30.290001,29.1,29.6,29.6,280500,0.01,0.5400010000000002,3.7500330345533213,30.222857285714287,33.3900000952381,27.76,50.82885036330092,0.46025992503944835,1.5181914809675783,39.32270603940913,27.457294151067074
2015-07-13,29.85,30.99,29.76,30.42,30.42,220100,0.019,0.8200000000000003,3.6513389322643923,30.124285714285715,33.37523819047619,26.190001,53.13601406650784,0.36759224492501374,1.2880716337590654,39.33721308087253,27.413263300079844
2015-07-14,30.780001,31.327,30.5,30.860001,30.860001,145500,0.003,0.44000099999999875,3.5508986353340934,30.060000285714285,33.24333342857143,26.059999,54.37313781984103,0.32590007110401586,1.0956373212280557,39.303397138027705,27.183269719115163
2015-07-15,30.889999,31.01,28.91,29.34,29.34,357000,-0.05,-1.5200010000000006,3.4832351854578736,29.89000014285714,32.950000095238096,26.6,49.51076299333865,0.16826766060490073,0.9101633891034246,39.146102020158494,26.753898170317697
2015-07-16,29.059999,29.870001,28.931,29.389999,29.389999,148200,0.011,0.04999899999999968,3.4139302931733235,29.694285714285716,32.53476190476191,27.42,49.67020081916849,0.046837428326618635,0.7374981969480635,38.44044587750437,26.629077932019452
2015-07-17,29.32,32.349998,29.15,32.27,32.27,1619800,0.101,2.8800010000000036,3.3307151610427974,30.13428557142857,32.23190471428571,27.860001,57.914298516039985,0.18090969160344628,0.6261804958791402,37.43531711641846,27.028492312152967
2015-07-20,32.369999,33.93,31.641001,33.75,33.75,414000,0.043,1.4799999999999969,3.2919370998699446,30.804285714285715,32.146190476190476,26.34,61.41230440505782,0.4019530922721479,0.5813350151577418,37.17646047288261,27.115920479498342
2015-07-21,33.950001,34.66,32.09,33.220001,33.220001,414800,-0.022,-0.5299989999999966,3.2318151445453434,31.321428714285712,32.036666714285715,26.389999,59.504925820551406,0.5282754592658918,0.5707231039793718,36.85406549357199,27.21926793499944
2015-07-22,32.990002,33.490002,31.360001,32.139999,32.139999,255600,-0.026,-1.0800020000000004,3.149717957287413,31.56714285714286,31.808095285714288,29.270000000000003,55.70799054179181,0.535071735864797,0.5635928303564568,36.07207282302249,27.544117748406087
2015-07-23,32.59,34.43,32.580002,33.110001,33.110001,265500,0.016,0.9700019999999938,3.0884290178317304,31.88857142857143,31.697619142857146,30.75,58.28270554884769,0.6116778473213174,0.5732098337494289,35.67827191299214,27.716966372722155
2015-07-24,33.450001,34.75,33.240002,33.57,33.57,357700,0.004,0.4599990000000034,3.040947484158124,32.49285714285715,31.583809666666667,30.220001000000003,59.48547791579886,0.7014212697180682,0.5988521209431568,35.169723939909936,27.997895393423395
2015-07-27,33.400002,33.950001,32.049999,32.869999,32.869999,200500,-0.016,-0.7000010000000003,2.9738629857818206,32.99,31.490000095238095,29.139999000000003,56.80164971132335,0.7078991274965141,0.6206615222538283,34.811463882185414,28.168536308290772
